Size_KB,Pattern,Stride_B,Run,Accesses,MeanLatency_ns,GBps
1048576,sequential,256,12,16777216,5.23741,2.84514
1048576,sequential,256,13,16777216,5.27787,2.82333
1048576,sequential,256,14,16777216,5.28186,2.8212
1048576,sequential,256,15,16777216,5.29395,2.81475
1048576,sequential,256,16,16777216,5.29507,2.81416
1048576,sequential,256,17,16777216,5.31621,2.80297
1048576,sequential,256,18,16777216,5.33148,2.79494
1048576,sequential,256,19,16777216,5.16431,2.88541
1048576,sequential,256,20,16777216,5.16276,2.88628
1048576,random,256,1,16777216,5.39872,2.76013
1048576,random,256,2,16777216,5.38796,2.76564
1048576,random,256,3,16777216,5.40567,2.75658
1048576,random,256,4,16777216,5.4949,2.71182
1048576,random,256,5,16777216,5.66977,2.62818
1048576,random,256,6,16777216,5.44751,2.73541
1048576,random,256,7,16777216,5.47886,2.71976
1048576,random,256,8,16777216,5.47723,2.72056
1048576,random,256,9,16777216,5.44026,2.73905
1048576,random,256,10,16777216,5.42621,2.74614
1048576,random,256,11,16777216,5.41971,2.74944
1048576,random,256,12,16777216,5.43644,2.74098
1048576,random,256,13,16777216,5.42344,2.74755
1048576,random,256,14,16777216,5.42087,2.74885
1048576,random,256,15,16777216,5.39775,2.76062
1048576,random,256,16,16777216,5.56358,2.67834
1048576,random,256,17,16777216,5.52714,2.696
1048576,random,256,18,16777216,5.50013,2.70924
1048576,random,256,19,16777216,5.49608,2.71123
1048576,random,256,20,16777216,5.46623,2.72604
1048576,sequential,1024,1,4194304,5.22517,2.8518
1048576,sequential,1024,2,4194304,5.2509,2.83783
1048576,sequential,1024,3,4194304,5.23801,2.84482
1048576,sequential,1024,4,4194304,5.28301,2.82058
1048576,sequential,1024,5,4194304,5.27789,2.82332
1048576,sequential,1024,6,4194304,5.157,2.8895
1048576,sequential,1024,7,4194304,5.12075,2.90995
1048576,sequential,1024,8,4194304,5.13889,2.89968
1048576,sequential,1024,9,4194304,5.1221,2.90919
1048576,sequential,1024,10,4194304,5.10074,2.92137
1048576,sequential,1024,11,4194304,5.11301,2.91436
1048576,sequential,1024,12,4194304,5.09286,2.92589
1048576,sequential,1024,13,4194304,5.09901,2.92236
1048576,sequential,1024,14,4194304,5.10129,2.92106
1048576,sequential,1024,15,4194304,5.10777,2.91735
1048576,sequential,1024,16,4194304,5.0987,2.92254
1048576,sequential,1024,17,4194304,5.10881,2.91676
1048576,sequential,1024,18,4194304,5.10246,2.92039
1048576,sequential,1024,19,4194304,5.09287,2.92589
1048576,sequential,1024,20,4194304,5.09708,2.92347
1048576,random,1024,1,4194304,5.2773,2.82364
1048576,random,1024,2,4194304,5.28818,2.81782
1048576,random,1024,3,4194304,5.28515,2.81944
1048576,random,1024,4,4194304,5.29299,2.81526
1048576,random,1024,5,4194304,5.29493,2.81423
1048576,random,1024,6,4194304,5.27866,2.82291
1048576,random,1024,7,4194304,5.32116,2.80036
1048576,random,1024,8,4194304,5.2936,2.81494
1048576,random,1024,9,4194304,5.28264,2.82078
1048576,random,1024,10,4194304,5.28645,2.81875
